{id=280534508, lat=47.8595913, lon=13.0591239, country='null', city='null', street='null', housenumber='null', postcode='null', name='null'}
{id=280697584, lat=47.1400529, lon=11.4479892, country='null', city='null', street='null', housenumber='null', postcode='null', name='Eni'}
{id=280698460, lat=47.1406323, lon=11.4463579, country='null', city='null', street='null', housenumber='null', postcode='null', name='Eni'}
{id=280834379, lat=47.2770544, lon=11.4006736, country='null', city='Innsbruck', street='null', housenumber='null', postcode='null', name='Eni'}
{id=280835083, lat=47.2648793, lon=11.3690127, country='null', city='null', street='null', housenumber='null', postcode='null', name='Shell'}
{id=280835469, lat=47.2585822, lon=11.3721341, country='null', city='null', street='null', housenumber='null', postcode='null', name='Eni'}
{id=281431143, lat=47.7378301, lon=13.0682748, country='AT', city='Anif', street='null', housenumber='null', postcode='5081', name='Jet'}
{id=284491128, lat=47.1847544, lon=11.3999414, country='null', city='null', street='null', housenumber='null', postcode='null', name='Shell'}
{id=284681596, lat=47.1962022, lon=11.3975575, country='null', city='null', street='null', housenumber='null', postcode='null', name='Shell'}
{id=285494062, lat=47.0144427, lon=11.5058709, country='null', city='null', street='null', housenumber='null', postcode='null', name='OMV'}
{id=288162059, lat=48.3193468, lon=13.3277295, country='AT', city='Obernberg am Inn', street='null', housenumber='null', postcode='4982', name='Shell'}
{id=288378147, lat=47.2318018, lon=12.8252824, country='null', city='null', street='null', housenumber='null', postcode='null', name='LM Energy'}
{id=289326043, lat=47.956069, lon=13.2012671, country='null', city='null', street='null', housenumber='null', postcode='null', name='null'}
{id=289672183, lat=48.1303442, lon=12.8769329, country='null', city='null', street='null', housenumber='null', postcode='null', name='OMV'}
{id=290797195, lat=47.4531474, lon=12.1515976, country='null', city='null', street='null', housenumber='null', postcode='null', name='OMV'}
{id=292218509, lat=47.5346925, lon=9.752019, country='AT', city='Lochau', street='null', housenumber='null', postcode='6911', name='OMV'}
{id=293250002, lat=47.2381074, lon=11.3111409, country='null', city='null', street='null', housenumber='null', postcode='null', name='Diskont'}
{id=293931736, lat=47.0786024, lon=10.9676278, country='AT', city='Längenfeld', street='null', housenumber='null', postcode='6444', name='OMV'}
{id=293931963, lat=46.9756018, lon=11.0110571, country='null', city='null', street='null', housenumber='null', postcode='null', name='Shell'}
{id=293932344, lat=46.9630693, lon=11.0077532, country='AT', city='Sölden', street='null', housenumber='null', postcode='6450', name='BP'}
{id=293933289, lat=47.1763172, lon=10.910293, country='AT', city='Umhausen', street='null', housenumber='null', postcode='6441', name='eni'}
{id=294914387, lat=48.5754764, lon=14.0516668, country='AT', city='Haslach an der Mühl', street='null', housenumber='null', postcode='4170', name='OMV'}
{id=297357676, lat=47.111506, lon=11.3093997, country='null', city='null', street='null', housenumber='null', postcode='null', name='BP'}
{id=300411433, lat=47.352743, lon=11.7004363, country='AT', city='Vomp', street='null', housenumber='null', postcode='6134', name='Eni - Gutmann'}
{id=300544379, lat=47.5660388, lon=12.1554402, country='null', city='null', street='null', housenumber='null', postcode='null', name='AP-Kufstein'}
{id=302688785, lat=47.5328554, lon=12.4371787, country='null', city='null', street='null', housenumber='null', postcode='null', name='Shell'}
{id=305880534, lat=47.3866909, lon=10.5627804, country='null', city='Stanzach', street='null', housenumber='null', postcode='6642', name='Shell'}
{id=309139797, lat=48.2880019, lon=14.0761993, country='null', city='null', street='null', housenumber='null', postcode='null', name='Avanti'}
{id=309142972, lat=48.2999275, lon=14.014996, country='AT', city='Eferding', street='null', housenumber='null', postcode='4070', name='Pink-Tankstelle'}
{id=309469999, lat=48.6206759, lon=13.8855139, country='null', city='null', street='null', housenumber='null', postcode='null', name='BP'}
{id=311147070, lat=48.041419, lon=13.5378627, country='null', city='null', street='null', housenumber='null', postcode='null', name='Tankstelle Schlager'}
{id=313390792, lat=47.8390611, lon=13.0765583, country='null', city='Hallwang', street='null', housenumber='null', postcode='5300', name='Eni'}
{id=313793076, lat=47.4670397, lon=11.9899621, country='null', city='null', street='null', housenumber='null', postcode='null', name='BP'}
{id=313908855, lat=47.7326272, lon=13.0653941, country='null', city='Anif', street='null', housenumber='null', postcode='5081', name='Eni'}
{id=316015151, lat=47.5353864, lon=9.7381816, country='null', city='null', street='null', housenumber='null', postcode='null', name='Deuring'}
{id=316020433, lat=47.4985349, lon=9.7328482, country='AT', city='Bregenz', street='null', housenumber='null', postcode='6900', name='Eni'}
{id=316077200, lat=47.3506212, lon=12.8004516, country='AT', city='Maishofen', street='null', housenumber='null', postcode='5751', name='BP'}
{id=316077205, lat=47.4309898, lon=12.8448817, country='null', city='null', street='null', housenumber='null', postcode='null', name='Shell'}
