@id	@lat	@lon
18255074	50.8740251	4.6878623
30524543	51.0976811	4.4363812
31724444	50.7118624	3.8250301
31939879	50.7158205	3.8277618
32523952	50.9567908	5.6941081
32528840	50.6725979	3.8680885
32528842	50.7009536	3.8244426
71351535	50.8523425	4.6586350
71352864	50.8539830	4.6579894
75714176	51.2387368	5.5509243
77594695	51.0533386	3.6990917
85643134	51.0993144	4.5067863
89212772	50.8945432	4.6324730
89229494	50.8787307	4.5105139
91149615	51.1742207	4.7538145
94101806	50.8927833	5.6743463
98291760	50.8688289	4.7363534
99475956	51.0646902	4.5585093
99477242	51.0810433	4.5935322
107889689	50.8293676	4.7530783
122342515	50.8026883	4.6452846
122372179	51.1852684	4.2904582
122372466	51.1832012	4.2882278
129970336	50.9503022	4.7919806
129970337	50.9517370	4.7926940
130247897	50.9810315	3.5467047
130380948	51.1471863	4.9610587
130537032	50.8977019	4.7059216
130837055	50.9580976	4.7707195
135510729	51.1195736	4.8187156
135511931	51.1474398	4.8580758
137905845	51.1655557	4.8461456
144865475	50.8656024	4.5135988
144913415	50.8735526	4.4865396
144923040	50.8926414	4.4712006
146627967	50.9137024	4.4874230
146627973	50.9174997	4.4985366
151228981	50.8654230	4.7472489
169529689	50.9522188	4.2930358
169532874	50.9521414	4.2963688
190986652	50.9189620	5.3282408
212227382	51.0223035	3.7526922
216495639	51.0338737	4.4569804
218795230	51.0419512	4.4328440
218795236	51.0437609	4.4258788
218823336	51.0352381	4.4232597
223165751	50.9010544	4.6794064
224699557	50.9537772	4.5956228
224699558	50.9554262	4.5951571
234165856	50.9098738	4.7129124
244020661	50.5847364	4.0712968
245778788	50.7978549	4.9226179
245782165	50.8189296	4.9017379
245783403	50.8397535	4.8381201
245801351	51.0186312	4.8421685
245858504	50.9695217	4.5716744
245858512	50.9764135	4.5601516
245860850	51.0136276	4.5017724
245928811	50.4640854	4.9016514
246635344	50.9527238	4.6400111
247083227	51.0120278	4.5042206
249420183	51.0982886	4.4378276
249469982	50.8659995	5.5069998
249470023	50.8636580	5.5327064
249470051	50.8872446	5.4807273
249506922	50.8983177	4.6828829
250398815	51.2425520	4.4306144
250398816	51.2438062	4.4296454
250398891	51.2449830	4.4241652
250398971	51.2298611	4.4024672
250399087	51.2270662	4.3777909
251068245	50.9144853	4.9798135
251095662	51.1418593	4.9470004
251095664	51.1429686	4.9482459
251095678	51.1519468	4.9721238
251466265	51.1737177	4.3544777
251728508	50.1654557	5.2123212
252793229	50.9745413	4.4673491
252795811	50.9928917	4.4733131
252796029	51.0070548	4.4737583
252796373	51.0041221	4.4769856
252797567	50.9727936	4.4998331
253357161	50.4727803	4.5431723
253665120	51.1560891	4.4601796
253769724	51.2603080	4.4192438
255020556	50.9421750	4.3373919
255128565	51.2160789	5.4259839
255708848	51.3710024	4.9935522
258076197	50.8965829	4.6231840
258174288	51.3292432	4.5233178
258342609	51.2717067	4.4580513
260388545	50.5598662	4.6799065
260388591	50.5517768	4.6667338
260451360	51.0328372	3.8040476
260476626	50.8216619	4.4063616
260640773	51.0303851	3.8647715
260716950	50.6546982	3.8691082
261585999	50.6340225	3.7890896
262218272	51.1367786	4.3495136
262372935	51.1536274	4.3007226
262879664	51.0252388	2.8567669
264113077	50.4935444	3.8062698
266482284	50.8288597	4.3519931
266582773	51.4383895	4.9322137
266721810	51.4356261	4.9310795
267241633	50.6001762	5.4475551
267241654	50.6034339	5.4850803
267241657	50.5929953	5.4579578
267567440	50.8107517	4.4004000
267830564	51.0458078	2.8696923
268488584	51.1637860	4.7024741
269300288	50.3023291	4.4817745
269300289	50.3303715	4.4760815
269300290	50.3604597	4.4697981
270357986	50.8484435	4.4716267
271720105	51.1700642	4.6462555
274851377	50.9892541	4.6453795
275153078	50.9427163	4.7309974
275165050	50.9743891	4.7129419
275169114	50.9907106	4.7290461
275176108	51.0494143	4.7256275
275515662	51.0948238	4.8702402
275522469	51.0449508	4.8646130
276470806	50.7540493	5.9650809
277032279	51.4847960	4.7327944
277032289	51.4819737	4.7282035
277089179	51.4807911	4.7299902
278088114	51.4198483	4.7036884
278243225	51.1736128	4.7502516
278542533	51.0345261	4.7647242
278543768	51.0515737	4.7315191
278548229	51.0846156	4.6574710
278782184	51.1491218	4.6204760
278788024	51.1315751	4.5885358
278795017	51.0906654	4.5502643
278889669	51.0734769	4.7329843
279837932	50.6324905	3.7873008
280176022	51.1410241	4.6326601
280395343	51.0523483	4.7834802
285878516	51.1193792	5.0235325
287045586	50.5724300	4.6983232
288347844	51.1761948	4.4596849
289200877	50.8209486	4.4780687
289201263	50.8210533	4.4773915
289209588	51.1407366	4.7469859
289209595	51.1444409	4.7534236
291161880	51.1247063	4.7614421
291163456	51.1464994	4.7871935
291194311	51.2057727	4.9020500
291860198	51.0111933	4.5977638
292094856	51.0874208	4.6405036
293039327	51.1751341	2.7864550
293228352	51.3408524	3.2637652
293231966	51.3393382	3.2562082
293558775	51.1965788	3.8180438
293594082	51.1974072	4.5282841
294027130	51.0137238	4.2279416
296237869	50.6670578	5.6931452
299322968	51.1522812	4.5801565
299332117	51.1584379	4.5904433
299408688	51.1459906	4.4467379
300092729	50.1902285	5.5396255
300235418	51.1363800	4.0642100
300235422	51.1426925	4.0798580
301941663	50.6889024	4.2011396
301941664	50.7054926	4.1567794
302016763	50.6831079	4.2931477
302017504	50.6210210	4.1415940
302192426	50.7270602	4.2174396
302192439	50.7195953	4.2242260
302193443	50.6975002	4.3634790
302197645	50.6761459	4.2746542
303553919	50.8810523	4.4498442
306486822	51.1796065	4.3368445
307612275	50.7041968	6.0874539
307816584	50.6158889	5.6722861
309071969	50.4787776	4.8798025
312064357	50.4857938	4.8906714
312935308	50.8958907	3.1765697
313170121	50.8622102	4.4878143
313319241	50.7790310	5.5228210
315230828	50.7802742	3.0348746
315320056	50.4622009	4.8801175
315320057	50.4617323	4.8791832
315522174	50.8483636	4.4632386
315522175	50.8487795	4.4623565
317215516	50.6138326	5.6933009
319207971	50.6156038	4.2993882
319207986	50.6151682	4.3007786
