@id	@lat	@lon
26384098	52.1899529	5.9622969
26516190	52.1955031	5.9624217
26866817	52.1034220	5.7706604
27082278	52.0012405	4.3502639
27297334	52.1787716	5.9835950
27297346	52.1939460	5.9865179
27429205	52.2022939	5.9947641
29816136	52.0821960	4.8663546
29818653	52.9945480	6.5351699
29818656	52.9920027	6.5172737
29845386	52.0757905	4.9010933
30118637	52.3688826	4.9707321
30250470	52.3050283	4.9228026
30264379	52.0866096	4.8634481
30337573	52.3426600	4.8569984
30409789	52.1000376	5.0861909
30417374	52.7512109	6.1894152
30650130	52.0932965	4.9016784
30745805	51.9573134	5.5791029
30791364	52.5238187	4.6999991
30791365	52.5215136	4.7045620
30791366	52.5620117	4.6902903
30847145	52.0064811	5.0466937
30956007	52.3178526	4.8700840
30990260	53.0854312	6.5989842
30993503	52.3490284	4.8553261
31003813	52.4195943	4.9121767
31131699	52.4586420	5.0311645
31228891	52.2207337	5.9985234
31386012	52.1895047	4.4200250
32535642	51.4793131	5.5502445
33228448	52.1803420	6.9138258
34467814	51.9508139	4.8505661
42014324	50.8752309	5.9757516
42291127	51.2776793	5.7432504
42361853	51.3223879	5.5937955
42364741	51.3248991	5.5919878
42371600	51.3276219	6.0019539
42502061	51.3781372	6.0009082
42529681	51.3937450	6.1837053
42534245	51.3960433	6.1611275
42586835	51.4227448	4.0966338
42591292	51.4242759	5.5059926
42596292	51.4255390	4.0875834
42671310	51.4546476	5.7946562
42718034	51.4716325	5.6779059
42727489	51.4751165	5.6353272
42728631	51.4753347	5.6345035
42741601	51.4765411	5.4881793
42743561	51.4793304	5.4894789
42818852	51.5009706	5.4951006
42971097	51.5424132	5.1584338
43226240	51.6109585	4.7536949
43395885	51.6631051	4.8553380
43471496	51.6762444	4.8273376
43545307	51.6943447	5.2725915
43647897	51.7240209	5.8816891
43651329	51.7237331	5.6693382
43782118	51.7645845	5.5458972
43927601	51.8134250	4.6471057
44020915	51.8324843	4.8830094
44082895	51.8501974	4.6800968
44353153	51.9106546	4.3783028
44368513	51.9141633	4.5290949
44407217	51.9219463	5.6019024
44440166	51.9286202	4.3689063
44547532	51.9487912	5.2235266
44555699	51.9504882	4.2299371
44557197	51.9508100	5.7567000
44580605	51.9555287	4.5151308
44675239	51.9745287	5.9588898
44739203	51.9876112	4.3555009
44988739	52.0423901	4.2942621
45028967	52.0507600	4.5160960
45074670	52.0621228	4.3152135
45097793	52.0661478	4.7417846
45225507	52.0960745	4.5914189
45225689	52.0961318	4.3387947
45523576	52.1626104	4.5309517
45728527	52.2127163	6.9049860
45900466	52.2546208	5.2450806
45959798	52.2689800	4.5557700
46378325	52.3699122	4.8769577
46440463	52.3831104	4.6820959
46512377	52.4028411	6.7894542
46600128	52.4333290	6.0683524
46614584	52.4383252	4.8443685
47084303	52.6471326	4.7926933
47603222	52.9073338	5.0305479
47647245	52.9420839	4.7733789
47803367	53.0384009	5.8487658
47925194	53.0921307	5.4280647
48035139	53.1435094	6.0484154
48158449	53.1944801	6.7006792
48248135	53.2354604	6.5394542
59607514	52.1705710	4.4968605
60211377	50.7995241	5.7634245
60502467	52.4558203	5.5302665
60620332	52.5203025	5.4818497
60806379	51.4714189	5.4358030
60937411	52.4124399	6.6004686
75346630	52.4704391	5.9652682
81409420	52.0008657	4.3509356
91332270	51.4165606	5.5734358
94583369	51.6807215	5.1347650
94587484	51.6895678	5.1463114
94588555	51.6955440	5.1471872
94592564	51.5044210	5.6452778
95702650	51.9313309	4.7825694
96064515	51.6541158	3.9170981
97682837	53.0397319	5.6671299
98868989	51.9240184	4.3456685
99325876	52.1959757	5.9387088
104659002	51.7508253	4.1598024
104673172	51.7497362	4.1210440
118161878	52.3440655	4.8420644
130119157	52.2114361	5.9983311
135561576	52.4631013	6.5226076
135561581	52.4611401	6.5020314
135561585	52.4613183	6.5012786
135562903	52.4648045	6.4846712
135567601	52.5110824	6.4198444
135567603	52.5179508	6.4244094
135572634	52.7219002	6.4677171
135572641	52.7192572	6.4675494
148575696	52.3827964	4.8707229
148575706	52.3840940	4.8647585
157022518	51.6492350	6.1094726
170839957	53.4103277	6.6773790
171047923	52.9653771	5.9413639
178847438	53.4095137	6.6659999
204964393	51.4352923	5.5153714
207204356	51.9222657	4.4212068
207205386	51.9204548	4.4128097
216315726	52.1950257	5.9405340
235194627	52.3869503	4.9247512
240866239	50.9717076	5.8253441
242837279	52.0510453	5.1095750
242936010	51.4622849	5.6330434
243671603	51.5851833	5.3314097
243999433	51.4433398	5.5130157
245917004	52.1235748	5.0400692
246542720	52.2157128	6.9641927
247847442	52.0354009	5.6527765
248213037	51.9961216	4.4792244
248215474	52.0019592	4.4838379
248525787	52.3172423	4.8696211
249718151	51.6733090	4.8244632
250171659	51.9245534	4.3773205
250196297	51.9343341	4.3774320
250230581	52.5464263	6.5045472
250231834	52.5305299	6.4259913
250231836	52.5293431	6.4361112
250409260	51.9305357	4.4041983
250422044	52.0742565	5.1051639
251319857	52.3156188	4.9640907
251319863	52.3176029	4.9630134
251332505	52.2206684	6.8704317
251332508	52.2202250	6.8696452
251687335	52.3516211	4.6116964
252133533	52.4091685	5.2547257
252334524	53.1890146	6.9817908
253488635	52.2313371	6.2773420
254325326	52.2153179	6.9749291
256119131	52.2122275	6.7417332
258211440	52.3113891	5.5649389
259845602	52.3716243	6.2634489
261210708	52.1298940	5.0495890
261589951	52.0101290	4.2933674
262174903	52.0362899	4.3127546
262399462	52.1601887	5.9850496
263294981	51.5211333	5.6402401
264118014	52.1100000	5.1378762
264363507	51.6225508	4.8791052
265089222	52.0156537	4.3354754
267555063	52.1835119	4.4706451
269785002	51.9997817	5.6597986
269785004	52.0208100	5.6486933
270360307	51.9604764	6.7337612
270454611	52.0068680	5.0463444
271883676	53.2939833	5.9969624
272479353	51.1526420	6.0909297
273188689	53.2263464	6.0844338
274233271	51.9280956	6.5643974
274233396	51.9298692	6.5692630
274233533	51.9165317	6.5808406
274233570	51.9317226	6.5927829
274233737	51.9321313	6.5933362
274250390	53.1017435	5.6220273
274296177	50.8599339	5.7769608
274296179	50.8600712	5.7821878
274805136	52.8479441	6.3423020
274869580	52.0344003	5.6251039
274870239	52.0322471	5.6226526
275030762	53.3418221	5.8314995
276377300	53.3178253	5.9909245
276421599	51.5440444	4.9511470
276519521	53.3291388	5.9968203
276549088	51.2125159	3.8007936
277627764	52.1547046	4.5004804
278212855	50.8560296	6.0759458
279110684	50.9909990	5.8694775
279712609	51.3793769	5.9839446
280961787	50.7740854	6.0154606
281175190	52.4354262	4.8144498
287514749	52.3690654	4.6160882
289661456	51.6519821	4.8526052
289661458	51.6485337	4.8504254
289663748	51.6497611	4.8688864
289663749	51.6495454	4.8693914
289985835	52.5794049	4.9331850
292841158	52.2891852	4.8668822
292841598	52.2917554	4.8420864
293235239	52.0280811	4.3627334
293658042	51.9527213	5.2372808
295125483	12.1608594	-68.9642143
295401732	51.8954734	6.5857672
295433323	52.2892819	4.8221934
296016178	51.9837851	5.7530286
297304860	52.2946116	4.8490454
297469170	50.8350325	5.6533456
298441880	51.9151870	4.6169249
298775978	51.3434738	5.8800825
298885460	50.9116597	5.9614483
298888998	50.8762804	5.9327951
298890029	52.4596104	4.6494805
300057166	51.8878704	5.8401802
300282214	52.2016615	4.4458504
300317216	51.9199634	4.6045745
301222795	52.3625970	6.4558983
301590520	51.3347784	5.9971604
302088714	51.4227039	5.5715905
302330969	52.0422581	4.6412169
302331080	52.0453641	4.6548137
302331223	52.0501564	4.6419201
302606551	52.0447031	4.6606008
303742315	51.7701952	5.6349655
303987810	52.2262518	4.6759031
304358994	52.0740355	4.5578140
304848057	51.7365179	5.6329749
304929393	53.1162983	6.0968966
305459132	53.1089428	6.0881021
305459133	53.1022789	6.0819666
305459134	53.0986137	6.0746124
305518703	51.5841774	4.6656454
305645328	51.7369813	5.6741526
305650988	51.7399137	5.6820024
306222329	52.2116980	4.4969820
307062141	52.0163847	4.6213644
307335073	52.5318268	5.5190930
307629803	51.9432402	6.7800932
308770856	51.6438283	4.6098474
309418541	52.3590857	4.6651925
310112261	53.3313383	6.0099953
311148745	50.8797613	5.6732713
313494264	52.1366560	5.0300973
313860077	52.1461646	4.4905561
314436989	52.2441848	6.1123733
314977976	52.5390493	5.5210785
316706724	51.5178806	5.9799664
316706726	51.5117334	5.9803510
316927693	51.9500264	4.6104965
317754980	52.1603913	5.3980546
318212295	50.8109892	5.9166051
319180691	51.3339499	6.1603269
322033046	51.3804374	6.2128436
325784675	51.6335941	4.8699035
327040962	52.2013749	4.4162418
329463467	52.2598961	5.1389998
329464601	52.2757132	5.1070389
329486756	52.2413851	5.1204147
330225176	51.3484874	6.1447446
331040981	51.9557490	4.5149777
331068942	52.9823456	6.6489540
331075448	53.0614378	6.4587453
331548709	52.2400785	6.8924137
332117612	52.0792818	4.6263139
332370289	51.3389242	5.9738265
332372346	51.3550623	6.0500203
332601487	50.8753782	5.9650803
332605893	50.8754704	5.9430839
335113996	50.8587914	6.0622695
336392848	51.5951784	5.3162217
336410140	51.9554044	4.5250466
339089541	51.9157758	5.8457192
339306046	52.6645994	6.8775384
339673067	52.2286159	4.4664755
342073173	52.0181272	4.5333133
343686194	52.0793750	5.0514181
344577122	51.5135591	3.8777074
345104864	52.1038954	5.2605939
346327558	53.2181975	6.5389931
349113842	52.1356693	4.5292581
350086878	51.9893350	5.0878394
351144320	52.0282154	4.7145402
352758990	51.7940338	5.6418019
353818010	51.6082228	4.9893694
353830976	51.6291399	4.9277563
356278842	50.9920252	5.8116485
356778389	50.9333139	5.9508218
