@id	@lat	@lon
144574	47.3098325	4.5013158
10350952	46.9650397	4.8361985
10533131	48.8605913	6.0917108
17875492	45.5098070	2.9354875
24933100	49.8649365	3.2920810
24933102	49.8518292	3.2648799
24933123	44.3868833	6.6286316
24933166	49.6993383	4.9269062
24933204	44.1068608	3.0824739
24933212	43.1924697	5.6660431
24933409	48.8536739	-0.8801584
24933431	45.6989319	-0.3440647
24933461	46.1568852	-1.1203580
24933499	47.0952848	2.2431020
24933547	41.9980754	9.4031533
24933599	48.4771005	-2.5914318
24933643	46.1830000	1.8460000
24933696	44.8765140	1.2136800
25178042	49.0879628	1.4938446
25178050	47.8359069	7.3949637
25178086	47.4922345	3.9223916
25178159	48.6510011	2.3689918
25178201	47.2583594	-1.5798059
25178206	43.6723620	4.4218998
25178265	43.3315513	3.2474108
25178277	43.4088589	6.0449128
25178314	46.7013891	0.3714329
25178337	49.6784837	1.3383569
25178354	48.8649703	2.6763849
25178366	48.0230934	0.1829726
25178373	47.2805352	5.0081280
25178381	43.1497524	6.0341367
25178388	45.1283588	1.3176479
25178423	47.6411598	6.9164830
25178441	43.5822791	5.4726779
25178478	48.9206895	2.3059966
25178485	48.9306788	1.9750960
25178489	47.3113180	-2.2009290
25178495	49.2839618	-0.7255631
25178522	50.5726724	2.3772480
25178536	44.0035360	4.7043962
25178587	45.4889875	-0.5657864
25178645	48.2543657	7.2068370
25178668	46.9566902	4.2863694
25178719	45.7069700	4.9869800
25178775	43.5088618	2.3611120
25178828	48.3626764	7.5738340
25178948	45.0012808	0.0366653
25178999	48.7220000	1.3650000
25179025	47.1675782	0.6309601
25179090	43.4029583	1.7124435
25179117	47.2589240	-2.2650040
25179146	48.6692011	2.2799130
25179212	43.8314114	1.3899329
25179220	43.2996115	5.4781685
25179237	45.9100697	6.1180988
25179240	49.1237501	2.2482162
25179246	47.8550640	5.3324673
25179255	50.3871900	2.3498000
25179261	43.5479820	3.7955488
25179271	49.5769300	2.9927600
25179302	44.1365339	4.8008990
25179310	47.9587147	-1.4872500
25179317	43.4114232	5.3132432
25179324	43.2032114	2.7817804
25179328	45.0061896	0.1427776
25179361	48.4606914	-2.0151699
