@id	@lat	@lon
15337840	48.1979115	16.2799487
20825091	46.6303447	14.0946634
21260971	47.0671988	15.4824463
21650201	47.5852728	12.6972646
26590967	47.2769580	12.7574069
27260497	47.4448330	12.2335576
27288970	47.5019449	12.0835275
29393296	47.3990527	14.8273588
30587668	47.9121579	13.8980522
30587678	47.9242903	13.7879433
30763342	47.3861090	14.8991176
31238776	46.8623897	12.8904676
31238779	46.8619076	12.8903556
31238830	46.8303111	12.7910743
31238837	46.8311547	12.7830757
31238840	46.8309901	12.7841718
31238878	46.8077969	13.4797170
31238879	46.8061788	13.4841320
31239210	46.9498173	13.5090074
31239398	46.6440251	14.3150255
31239406	46.6533516	14.3138950
31239606	46.9734939	14.3934990
31239852	47.1528011	14.4141871
31239970	47.1780021	14.6063766
31239981	47.0982957	15.4041101
31617646	47.0131779	15.4089719
31619963	47.0486788	15.4524255
32696391	47.9029845	13.5724929
34017419	47.5834682	13.1564700
35526347	48.4821903	16.5931307
35526350	48.4722616	16.5889934
35526351	48.6605364	16.6287639
35526352	48.3114425	16.4300606
35526367	46.8309730	15.5525992
36312847	47.6197343	16.1283220
36740320	46.8332497	15.5477121
39727371	48.6594909	16.6293339
39727374	48.3603768	16.4917951
41404517	48.4157248	14.6098882
42225268	47.8681901	16.1565982
45075977	47.0591630	15.4264755
47740350	48.4644362	14.2714880
47741063	48.5023031	14.5016855
48231513	48.4374324	14.7815295
48232102	48.3957103	14.7316367
54156214	48.5062702	14.5033941
59920814	48.3532976	14.5358250
59988746	48.2716521	14.3242837
60567760	47.3777800	9.8904461
60649059	48.2071479	16.3434870
61278990	48.3374104	16.3394443
61279027	48.3380741	16.3389286
61279052	48.3327347	16.3450194
61681586	48.3045370	16.3298517
70374969	48.3612904	14.2401497
72465683	48.3299147	14.6027894
76558003	48.2664946	13.5660862
78454836	48.0701599	16.0665657
80951581	48.3382106	16.7277029
82717263	47.1445892	16.1894596
83454997	48.2660809	16.4030241
83466627	48.2835135	16.4135257
86110773	48.2146219	16.3916358
86111766	48.1796472	16.3517548
86923609	47.5515336	10.6708504
88114339	48.5017408	13.7359067
89412066	48.5807611	13.5035500
89412828	48.1041218	16.2853939
90385635	48.1624251	16.3171251
