date,station_uuid,e5
2022-10-11 00:01:08+02,fcb60aff-baf5-11ec-8ab7-005056a27fa7,1.999
2022-10-11 00:02:09+02,a6c7d82c-0988-449b-a9b6-40f67e2bb577,1.949
2022-10-11 00:04:08+02,ef77aedf-2efb-48d6-a7af-543f460068e9,1.999
2022-10-11 00:09:10+02,8fb359e2-de12-4137-b74c-729f5357cdaa,2.029
2022-10-11 00:09:10+02,4b85efa1-44d9-42f5-83d0-61745f958d11,1.889
2022-10-11 00:09:10+02,eec42f8a-ea6f-4e11-9eb2-b134c5269c37,2.039
2022-10-11 00:09:10+02,cf9bbafa-b256-4de9-8cd3-90156ef7d119,2.049
2022-10-11 00:10:07+02,76c84408-ac23-47ff-e381-5d92063887ce,1.999
2022-10-11 00:13:09+02,11652441-f3fc-4fc9-a87a-664db366b5af,2.049
2022-10-11 00:13:09+02,b89a7315-ac19-4ea5-919b-80c76722888d,1.959
2022-10-11 00:14:07+02,de58a718-c2de-4fde-a435-180175909831,1.909
2022-10-11 00:17:15+02,4e49e411-d4ba-4c7c-990b-595bafeef7c5,1.989
2022-10-11 00:17:15+02,04727fe3-e06d-4af8-b2dd-a75b50cbc116,1.979
2022-10-11 00:17:15+02,5a8ff352-856e-451a-b38f-bd17f2b0a13c,2.049
2022-10-11 00:21:22+02,6df261d9-e486-499a-b140-81428dc53058,1.999
2022-10-11 00:22:18+02,4e49e411-d4ba-4c7c-990b-595bafeef7c5,2.029
2022-10-11 00:25:23+02,de58a718-c2de-4fde-a435-180175909831,1.919
2022-10-11 00:25:23+02,8514b272-7686-4df6-8143-9967e49ff949,1.919
2022-10-11 00:27:10+02,f01a2db0-41e9-4eaa-8811-7650bc9f209d,2.049
2022-10-11 00:31:15+02,84b67d46-e42b-48b0-b810-582f0993ede4,1.989
2022-10-11 00:32:15+02,84b67d46-e42b-48b0-b810-582f0993ede4,1.989
2022-10-11 00:34:08+02,a1286218-bf60-48fd-bea9-02e81942f463,1.999
2022-10-11 00:34:08+02,bc4a4c57-eb77-46ae-8ef9-d4a1043117fc,2.049
2022-10-11 00:34:08+02,de556902-f838-4a16-ae90-57497c6b5ea4,1.979
2022-10-11 00:34:08+02,f64c5891-42a8-4127-816c-1b271f8674d2,1.979
2022-10-11 00:34:08+02,f994d8de-206e-4cd0-a827-7051b269967c,2.059
2022-10-11 00:34:08+02,fd9e51e6-6e86-4dc7-b296-2afc705e1cf9,1.999
2022-10-11 00:34:08+02,0947c43c-cbd6-4eca-9e6f-26d2bbc825ed,1.969
2022-10-11 00:34:08+02,2a3d0a89-1b8e-4f0f-89d0-e890da5de912,2.109
2022-10-11 00:34:08+02,474226be-281f-4545-93d2-acc2f26119bc,1.989
2022-10-11 00:34:08+02,805325e6-2418-406f-9732-bf7ce2777a60,1.969
2022-10-11 00:34:08+02,843c87b3-9a84-4857-8454-1289c458c2c6,1.969
2022-10-11 00:36:05+02,01113d91-8f68-451f-a5f4-42225c15eb82,1.999
2022-10-11 00:36:05+02,14ff9630-ccc9-4f11-8d3a-0b5cc7da8844,2.059
2022-10-11 00:36:05+02,3d43876d-107c-4399-8065-efc704755a63,2.139
2022-10-11 00:36:05+02,4cb10b20-bad4-4013-9b77-0470b52ece3d,2.059
2022-10-11 00:36:05+02,54bcfaa2-d3f3-431c-989b-a71cbfab4dcd,2.029
2022-10-11 00:36:05+02,a55f894c-b85e-4246-86e0-2e5493465c02,2.049
